station_name	station_code	elevated	toilet	gate_number	gate_location	divyang_friendly	parking_available	parking_cycle	parking_motorcycle	parking_car	lat	lon
kohat enclave	KE	TRUE	TRUE	gate no. 3	kapil vihar	FALSE	TRUE	25	150	200	28.697943	77.140465
kohat enclave	KE	TRUE	TRUE	gate no. 3	kapil vihar	FALSE	TRUE	15	100	30	28.697943	77.140465
kohat enclave	KE	TRUE	TRUE	gate no. 1	maurya enclave	TRUE	TRUE	25	150	200	28.697943	77.140465
kohat enclave	KE	TRUE	TRUE	gate no. 1	maurya enclave	TRUE	TRUE	15	100	30	28.697943	77.140465
kohat enclave	KE	TRUE	TRUE	gate no. 2	kohat enclave	TRUE	TRUE	25	150	200	28.697943	77.140465
kohat enclave	KE	TRUE	TRUE	gate no. 2	kohat enclave	TRUE	TRUE	15	100	30	28.697943	77.140465
												
												
												
												
												
kalkaji mandir	KJMD	FALSE	TRUE	gate no. 1	"block 9,kalkaji ,new delhi,delhi-110019"	TRUE	TRUE	0	100	150	28.549532	77.258789
kalkaji mandir	KJMD	FALSE	TRUE	gate no. 4	bhairav mandir	TRUE	TRUE	0	100	150	28.549532	77.258789
kalkaji mandir	KJMD	FALSE	TRUE	gate no. 3	mtnl building	FALSE	TRUE	0	100	150	28.549532	77.258789
kalkaji mandir	KJMD	FALSE	TRUE	gate no. 2	"lotus temple, kalkaji mandir"	TRUE	TRUE	0	100	150	28.549532	77.258789
karkarduma	KKDA	TRUE	TRUE	gate no. 4 (pink line)	towards karkardooma village	FALSE	TRUE	35	400	200	28.64938496	77.30606244
karkarduma	KKDA	TRUE	TRUE	gate no. 3 (pink line)	towards karkardooma village	TRUE	TRUE	35	400	200	28.64938496	77.30606244
karkarduma	KKDA	TRUE	TRUE	gate no. 2	shanti mukund	TRUE	TRUE	35	400	200	28.64938496	77.30606244
karkarduma	KKDA	TRUE	TRUE	gate no. 1	karkardooma village	TRUE	TRUE	35	400	200	28.64938496	77.30606244
												
												
												
												
												
												
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 1	towards tota ram bazaar	FALSE	TRUE	60	1200	400	28.68239924	77.16477705
