station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon
nehru place	NP	TRUE	TRUE	TRUE	134	1288	125	Near Gate No. 2	28.551415396986600	77.25174052224090
nangloi railway station	NRSN	TRUE	TRUE	FALSE	0	0	0		28.682091	77.05619
noida sector-18	NSET	TRUE	TRUE	FALSE	0	0	0		28.448021	77.476692
noida sector-15	NSFT	TRUE	TRUE	FALSE	0	0	0		28.47913	77.442307
netaji subhash place	NSHP	TRUE	TRUE	TRUE	50	200	80	Near Gate No. 2	28.6947286779568	77.15427958706770
noida sector-16	NSST	TRUE	TRUE	FALSE	0	0	0		28.468822	77.455101
nehru enclave	NUEE	FALSE	TRUE	FALSE	0	0	0		28.545856	77.25116
nirman vihar	NV	TRUE	TRUE	FALSE	0	0	0		28.637049	77.287872
nawada	NWD	TRUE	TRUE	TRUE	14	135	13	Near Gate 01	28.620222	77.044991
old faridabad	OFDB	TRUE	TRUE	TRUE	15	250	100	Near Gate No. 1	28.412172	77.311272
okhla bird sanctuary	OKBS	FALSE	TRUE	TRUE	40	700	190	Near Gate No. 2 & 3	28.552816	77.321564
okhla nsic	OKNS	FALSE	TRUE	FALSE	0	0	0		28.554575	77.26487
okhla vihar	OVA	TRUE	TRUE	FALSE	0	0	0		28.561255	77.291916
peeragarhi	PAGI	TRUE	TRUE	TRUE	54	516	50	Near Gate No. 1	28.67972	77.092491
palam	PALM	FALSE	TRUE	TRUE	46	439	43		28.589067	77.082954
punjabi bagh	PBGA	TRUE	TRUE	TRUE	64	615	60	Near Gate No. 2	28.672943	77.146011
pulbangash	PBGH	TRUE	TRUE	TRUE	25	77	250	Near Gate No.1	28.666406453031200	77.20742476770180
punjabi bagh west	PBGW	FALSE	TRUE	FALSE	0	0	0		28.672747	77.139183
patel nagar	PN	TRUE	TRUE	TRUE	31	297	29	Near Gate No. 5	28.645035001762700	77.1693524233503
pratap nagar	PRA	TRUE	TRUE	TRUE	15	70	130	Near Gate No.1 & 2	28.66670769345030	77.19888995994790
panchsheel park	PSPK	FALSE	TRUE	FALSE	0	0	0		28.542339	77.220512
patel chowk	PTCK	FALSE	TRUE	TRUE	79	760	73	Near Gate No.1	28.623395501699100	77.2145018868985
patel chowk	PTCK	FALSE	TRUE	TRUE	91	876	85	Near Gate No.2	28.623395501699100	77.2145018868985
patel chowk	PTCK	FALSE	TRUE	TRUE	49	477	46	Near Gate No.3	28.623395501699100	77.2145018868985
supreme court	PTMD	TRUE	TRUE	TRUE	20	60	30	Near Gate No.2	28.623438	77.2425
