station_code,day,hour,BICYCLE,TWO_WHEELER,CAR_JEEP_VAN
AZU,Thursday,15:00,76.0,69.0,0.0
AZU,Thursday,16:00,76.0,69.0,0.0
AZU,Thursday,17:00,76.0,69.0,0.0
AZU,Thursday,18:00,76.0,72.0,0.0
AZU,Thursday,19:00,76.0,72.0,0.0
AZU,Thursday,20:00,76.0,72.0,0.0
AZU,Thursday,21:00,76.0,72.0,0.0
AZU,Thursday,22:00,81.0,89.0,0.0
AZU,Thursday,23:00,81.0,89.0,0.0
AZU,Friday,00:00,82.0,90.0,0.0
AZU,Friday,01:00,82.0,90.0,0.0
AZU,Friday,02:00,82.0,90.0,0.0
AZU,Friday,03:00,82.0,90.0,0.0
AZU,Friday,04:00,82.0,90.0,0.0
AZU,Friday,05:00,82.0,90.0,0.0
AZU,Friday,06:00,82.0,90.0,0.0
AZU,Friday,07:00,82.0,90.0,0.0
AZU,Friday,08:00,82.0,90.0,0.0
AZU,Friday,09:00,82.0,90.0,0.0
AZU,Friday,10:00,83.0,83.0,0.0
AZU,Friday,11:00,83.0,83.0,0.0
AZU,Friday,12:00,83.0,83.0,0.0
AZU,Friday,13:00,83.0,83.0,0.0
AZU,Friday,14:00,80.0,72.0,0.0
AZU,Friday,15:00,80.0,72.0,0.0
AZU,Friday,16:00,80.0,72.0,0.0
AZU,Friday,17:00,80.0,72.0,0.0
AZU,Friday,18:00,80.0,74.0,0.0
AZU,Friday,19:00,80.0,74.0,0.0
AZU,Friday,20:00,80.0,74.0,0.0
AZU,Friday,21:00,80.0,74.0,0.0
AZU,Friday,22:00,77.0,85.0,0.0
AZU,Friday,23:00,77.0,85.0,0.0
AZU,Saturday,00:00,82.0,92.0,0.0
AZU,Saturday,01:00,82.0,92.0,0.0
AZU,Saturday,02:00,82.0,92.0,0.0
AZU,Saturday,03:00,82.0,92.0,0.0
AZU,Saturday,04:00,82.0,92.0,0.0
AZU,Saturday,05:00,82.0,92.0,0.0
AZU,Saturday,06:00,82.0,92.0,0.0
AZU,Saturday,07:00,82.0,92.0,0.0
AZU,Saturday,08:00,82.0,92.0,0.0
AZU,Saturday,09:00,82.0,92.0,0.0
AZU,Saturday,10:00,82.0,84.0,0.0
AZU,Saturday,11:00,82.0,84.0,0.0
AZU,Saturday,12:00,82.0,84.0,0.0
AZU,Saturday,13:00,82.0,84.0,0.0
AZU,Saturday,14:00,76.0,77.0,0.0
AZU,Saturday,15:00,76.0,77.0,0.0
AZU,Saturday,16:00,76.0,77.0,0.0
AZU,Saturday,17:00,76.0,77.0,0.0
AZU,Saturday,18:00,79.0,77.0,0.0
AZU,Saturday,19:00,79.0,77.0,0.0
AZU,Saturday,20:00,79.0,77.0,0.0
AZU,Saturday,21:00,79.0,77.0,0.0
AZU,Saturday,22:00,79.0,87.0,0.0
AZU,Saturday,23:00,79.0,87.0,0.0
BACH,Sunday,00:00,90.0,88.0,65.0
BACH,Sunday,01:00,90.0,88.0,65.0
BACH,Sunday,02:00,90.0,88.0,65.0
BACH,Sunday,03:00,90.0,88.0,65.0
BACH,Sunday,04:00,90.0,88.0,65.0
BACH,Sunday,05:00,90.0,88.0,65.0
BACH,Sunday,06:00,90.0,88.0,65.0
BACH,Sunday,07:00,90.0,88.0,65.0
BACH,Sunday,08:00,90.0,88.0,65.0
BACH,Sunday,09:00,90.0,88.0,65.0
BACH,Sunday,10:00,47.0,43.0,15.0
BACH,Sunday,11:00,47.0,43.0,15.0
BACH,Sunday,12:00,47.0,43.0,15.0
BACH,Sunday,13:00,47.0,43.0,15.0
BACH,Sunday,14:00,23.0,4.0,0.0
BACH,Sunday,15:00,23.0,4.0,0.0
BACH,Sunday,16:00,23.0,4.0,0.0
BACH,Sunday,17:00,23.0,4.0,0.0
BACH,Sunday,18:00,60.0,35.0,0.0
BACH,Sunday,19:00,60.0,35.0,0.0
BACH,Sunday,20:00,60.0,35.0,0.0
BACH,Sunday,21:00,60.0,35.0,0.0
BACH,Sunday,22:00,73.0,68.0,40.0
BACH,Sunday,23:00,73.0,68.0,40.0
BACH,Monday,00:00,73.0,89.0,60.0
BACH,Monday,01:00,73.0,89.0,60.0
BACH,Monday,02:00,73.0,89.0,60.0
BACH,Monday,03:00,73.0,89.0,60.0
BACH,Monday,04:00,73.0,89.0,60.0
BACH,Monday,05:00,73.0,89.0,60.0
BACH,Monday,06:00,73.0,89.0,60.0
BACH,Monday,07:00,73.0,89.0,60.0
BACH,Monday,08:00,73.0,89.0,60.0
BACH,Monday,09:00,73.0,89.0,60.0
BACH,Monday,10:00,53.0,10.0,0.0
BACH,Monday,11:00,53.0,10.0,0.0
