station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon	contractor	contact_number	parking_lat	parking_lon
mundka industrial area (mia)	MIAA	TRUE	TRUE	FALSE	0	0	0		29	77				
pandit shree ram sharma	MIEE	TRUE	TRUE	TRUE	60	572	56	Near Gate No. 2	29	77	M/s. Sanjeev Kumar.	9910719234	29	77
munirka	MIRK	FALSE	TRUE	FALSE	0	0	0		29	77				
munirka	MIRK	FALSE	TRUE	FALSE	0	0	0		29	77				
majlis park	MKPR	TRUE	TRUE	TRUE	100	150	70	Near Gate No. 2	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
moolchand	MLCD	TRUE	TRUE	TRUE	32	304	30	Near Gate No. 1	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
mewala maharajpur	MMJR	TRUE	TRUE	TRUE	15	146	14	Near Gate No. 3	28	77	M/s. V Inspirer Facility Management Pvt. Ltd	9910803493	28	77
moti nagar	MN	TRUE	TRUE	TRUE	94	901	89	Near Gate 1	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
moti nagar	MN	TRUE	TRUE	TRUE	94	901	89	Near Gate 4	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
mohan nagar	MNGM	TRUE	TRUE	FALSE	0	0	0		29	77				
mansarovar park	MPK	TRUE	TRUE	TRUE	60	250	30	Near Gate 01 & 02			M/s. Hindustan Trading Co.	9891014005	29	77
mansarovar park	MPK	TRUE	TRUE	TRUE	60	250	30	Near Gate 01 & 02			M/s. Hindustan Trading Co.	9891014005	29	77
mundka	MUDK	TRUE	TRUE	TRUE	120	1154	112	Near Gate No.2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
maujpur-babarpur	MUPR	TRUE	TRUE	FALSE	0	0	0		29	77				
mayur vihar extension	MVE	TRUE	TRUE	TRUE	50	250	50	Near Gate No. 1	29	77	M/s. Snepra Secure Services Pvt. Ltd	9650365860	29	77
malviya nagar	MVNR	FALSE	TRUE	TRUE	29	282	27	Near Gate No. 3	29	77			29	77
mayur vihar -i	MVP1	TRUE	TRUE	TRUE	15	100	40	Near Gate No. 1	29	77	M/s. Snepra Secure Services Pvt. Ltd	9650365860	29	77
mayur vihar pocket-1	MVPO	TRUE	TRUE	FALSE	0	0	0		29	77				
mayapuri	MYPI	TRUE	TRUE	TRUE	46	445	43	Near Gate no 2	29	77	M/s. Surjeet	9999705531	77	29
new ashok nagar	NAGR	TRUE	TRUE	FALSE	0	0	0		29	77				
naraina vihar	NAVR	FALSE	TRUE	FALSE	0	0	0		29	77				
shaheed sthal ( new bus adda)	NBAA	TRUE	TRUE	TRUE	16	311	0	Gate No 2	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
neelam chowk ajronda	NCAJ	TRUE	TRUE	TRUE	15	250	100	Near Gate No.3	28	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	28	77
sant surdas (sihi)	NCBC	TRUE	TRUE	FALSE	0	0	0		28	77				
noida city centre	NCC	TRUE	TRUE	TRUE	50	220	90	Near Gate No. 1 & 3	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
new delhi (yellow & airport line)	NDI	FALSE	TRUE	TRUE	0	100	800	Multi Level Car Parking Building						
noida electronic city	NECC	TRUE	TRUE	TRUE	10	300	150	Near Gate No. 1	29	77			29	77
najafgarh	NFGH	FALSE	TRUE	TRUE	55	220	58		29	77	M/s. Ashok Kumar Sharma	9868266382	29	77
nhpc chowk	NHPC	TRUE	TRUE	TRUE	56	534	52	Near Gate no 3	28	77	M/s. Hindustan Trading Co.	9891014005	28	77
nhpc chowk	NHPC	TRUE	TRUE	TRUE	56	534	52	Near Gate no 2	28	77	M/s. Hindustan Trading Co.	9891014005	28	77
nhpc chowk	NHPC	TRUE	TRUE	TRUE	56	534	52	Near Gate no 2	28	77	M/s. Hindustan Trading Co.	9891014005	28	77
sarai kale khan - nizamuddin	NIZM	FALSE	TRUE	FALSE	0	0	0		29	77				
nangli	NNGI	TRUE	TRUE	FALSE	0	0	0		29	77				
nangloi	NNOI	TRUE	TRUE	TRUE	101	965	94	Towards Gate No.2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
nehru place	NP	TRUE	TRUE	TRUE	134	1288	125	Near Gate No. 2	29	77			29	77
